symbol,name,exchange,spot_amount,spot_date,spot_updated_at,asset_class,category,tracking_index,listing_date,latest_date,avg_amount_20,data_rows,is_active,filter_reason,universe_source,fetched_at
560110,中证1000ETF汇添富,SH,12483430.0,2026-05-13,2026-05-13 16:11:33+08:00,A股股票,宽基,中证1000,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
560130,食品ETF鹏华,SH,582987.0,2026-05-13,2026-05-13 16:11:35+08:00,A股股票,行业主题,食品鹏华,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
560150,红利低波ETF泰康,SH,8365373.0,2026-05-13,2026-05-13 16:11:34+08:00,A股股票,风格,红利低波泰康,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
560160,食品ETF易方达,SH,3570360.0,2026-05-13,2026-05-13 16:11:53+08:00,A股股票,行业主题,食品,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
560170,央企科技ETF南方,SH,32927645.0,2026-05-13,2026-05-13 16:11:57+08:00,A股股票,风格,央企科技,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
560180,沪深300ESGETF南方,SH,5018197.0,2026-05-13,2026-05-13 16:11:57+08:00,A股股票,宽基,沪深300ESG,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
560190,公用事业ETF鹏华,SH,1696542.0,2026-05-13,2026-05-13 16:11:34+08:00,A股股票,行业主题,公用事业鹏华,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
560210,农牧渔ETF景顺,SH,19268142.0,2026-05-13,2026-05-13 16:11:55+08:00,A股股票,行业主题,农牧渔景顺,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
560220,中证2000ETF广发,SH,5549822.0,2026-05-13,2026-05-13 16:11:50+08:00,A股股票,行业主题,中证2000,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
560230,光伏ETF富国,SH,16484116.0,2026-05-13,2026-05-13 16:11:43+08:00,A股股票,行业主题,光伏,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
560260,医疗ETF广发,SH,4996676.0,2026-05-13,2026-05-13 16:11:45+08:00,A股股票,行业主题,医疗,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
560270,电力ETF工银,SH,29381106.0,2026-05-13,2026-05-13 16:12:02+08:00,A股股票,行业主题,电力工银,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
560280,工程机械ETF广发,SH,208996146.0,2026-05-13,2026-05-13 16:12:01+08:00,A股股票,行业主题,工程机械,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
560290,有色ETF景顺,SH,9576869.0,2026-05-13,2026-05-13 16:12:01+08:00,A股股票,行业主题,有色景顺,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
560300,电信ETF汇添富,SH,1391299.0,2026-05-13,2026-05-13 16:11:38+08:00,A股股票,行业主题,电信,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
560310,光伏ETF博时,SH,8175637.0,2026-05-13,2026-05-13 16:12:02+08:00,A股股票,行业主题,光伏,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
560320,N食品ETF富国,SH,44319742.0,2026-05-13,2026-05-13 16:11:35+08:00,A股股票,行业主题,N食品,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
